"claim_amount","age","kids_driven","homekids","years_on_job","income","parent","home_value","marriage_status","gender","education","occupation","travel_time","car_use","bluebook","total_insurable_value","car_type","red_car","old_claim","claim_frequency","revoked","mvr_points","car_age","claim_flag","urbanicity"
7838,33,0,4,0,0,"Yes",0,"No","M","High School","Student",14,"Commercial",15090,1,"Minivan","yes",1631,1,"No",2,5,1,"Highly Urban/ Urban"
5125,47,0,0,11,44705,"No",217885,"Yes","F","Bachelors","Professional",50,"Private",12840,1,"SUV","no",1533,2,"No",0,10,1,"Highly Urban/ Urban"
5085,64,0,0,15,31738,"No",197010,"Yes","M","<High School","Blue Collar",23,"Commercial",14620,6,"SUV","no",3994,2,"No",0,1,1,"Highly Urban/ Urban"
2143,52,0,0,7,64014,"No",244863,"Yes","M","<High School","Blue Collar",33,"Commercial",7900,4,"Pickup","yes",8882,3,"No",1,5,1,"Highly Urban/ Urban"
4028,26,0,0,8,53244,"No",0,"No","M","Bachelors","Professional",28,"Commercial",20920,3,"Van","yes",6224,1,"No",1,8,1,"Highly Urban/ Urban"
2114,41,0,1,8,126468,"Yes",0,"No","F","Masters","Manager",34,"Commercial",32690,3,"Pickup","no",0,0,"No",2,18,1,"Highly Urban/ Urban"
8671,38,1,1,12,37580,"No",173495,"Yes","F","<High School","Clerical",36,"Private",5260,7,"SUV","no",867,2,"No",0,1,1,"Highly Urban/ Urban"
6287,41,0,2,15,23344,"No",147172,"Yes","M","High School","Blue Collar",10,"Private",7930,1,"Pickup","no",0,0,"No",1,1,1,"Highly Urban/ Urban"
3524,41,0,0,12,110386,"No",335488,"Yes","M","Masters","",21,"Commercial",16640,1,"Van","yes",0,0,"No",2,14,1,"Highly Urban/ Urban"
6158,43,0,2,15,49849,"Yes",0,"No","F","Masters","Lawyer",35,"Private",13130,1,"SUV","no",3622,3,"No",4,20,1,"Highly Urban/ Urban"
4887,39,1,1,16,12054,"No",0,"Yes","F","<High School","Student",28,"Commercial",15760,4,"Pickup","no",1738,2,"Yes",4,1,1,"Highly Urban/ Urban"
5147,60,0,3,18,78936,"No",235670,"Yes","F","Masters","Lawyer",40,"Private",20350,6,"SUV","no",0,0,"No",0,15,1,"Highly Urban/ Urban"
2214,26,0,3,9,33283,"No",104323,"Yes","M","Bachelors","Blue Collar",37,"Commercial",7690,10,"Pickup","no",0,0,"No",2,16,1,"Highly Urban/ Urban"
6087,42,0,0,12,136344,"No",0,"No","F","PhD","Doctor",45,"Private",13160,1,"Sports Car","no",0,0,"No",0,17,1,"Highly Urban/ Urban"
3894,39,0,0,12,32936,"No",169721,"No","F","High School","Clerical",12,"Private",1500,6,"SUV","no",0,0,"No",0,7,1,"Highly Urban/ Urban"
2659,45,1,3,0,0,"Yes",0,"No","M","High School","Home Maker",36,"Private",16510,4,"Minivan","no",17445,3,"Yes",0,1,1,"Highly Urban/ Urban"
3705,62,0,0,12,22181,"No",185459,"No","F","High School","Clerical",24,"Private",17880,7,"Sports Car","no",9873,3,"No",5,1,1,"Highly Urban/ Urban"
6693,53,0,0,15,84345,"No",264549,"Yes","F","Bachelors","Manager",36,"Private",9930,4,"SUV","no",0,0,"No",3,5,1,"Highly Urban/ Urban"
4380,42,0,0,10,43174,"No",208811,"No","M","<High School","Blue Collar",48,"Commercial",10020,13,"Pickup","yes",0,0,"No",0,1,1,"Highly Urban/ Urban"
1826,31,0,2,14,30653,"Yes",0,"No","F","High School","Clerical",41,"Private",12930,13,"Sports Car","no",35666,2,"Yes",0,7,1,"Highly Urban/ Urban"
4644,45,1,2,17,111268,"No",288071,"Yes","F","Masters","Lawyer",46,"Private",24600,1,"Van","no",28026,2,"Yes",2,10,1,"Highly Urban/ Urban"
53571,36,0,3,11,49703,"Yes",253132,"No","M","Masters","",37,"Commercial",42550,1,"Panel Truck","yes",35879,1,"Yes",0,20,1,"Highly Urban/ Urban"
4257,53,0,0,13,25289,"No",108139,"Yes","F","<High School","Home Maker",31,"Private",13850,1,"SUV","no",0,0,"No",0,7,1,"Highly Urban/ Urban"
4277,31,0,3,14,26112,"No",117229,"Yes","F","<High School","Clerical",58,"Private",14030,3,"SUV","no",0,0,"No",0,5,1,"Highly Rural/ Rural"
2832,32,0,3,13,30955,"Yes",111256,"No","F","High School","Clerical",9,"Private",7800,4,"SUV","no",0,0,"Yes",0,8,1,"Highly Urban/ Urban"
2738,59,1,1,12,119382,"Yes",0,"No","F","Masters","Manager",26,"Commercial",24130,13,"Pickup","no",0,0,"No",0,16,1,"Highly Urban/ Urban"
4658,39,1,2,15,61370,"Yes",0,"No","M","Masters","Manager",6,"Commercial",21770,6,"Van","yes",35577,3,"Yes",0,12,1,"Highly Urban/ Urban"
5259,54,0,0,11,44782,"No",148676,"No","F","<High School","Clerical",83,"Private",30260,3,"SUV","no",0,0,"No",0,9,1,"Highly Urban/ Urban"
3769,45,2,2,12,30085,"No",128194,"Yes","M","<High School","Clerical",44,"Commercial",7200,4,"Pickup","no",0,0,"Yes",3,8,1,"Highly Urban/ Urban"
5733,44,1,2,15,46140,"No",169084,"Yes","M","High School","Blue Collar",29,"Commercial",10510,1,"Pickup","no",4276,3,"No",7,1,1,"Highly Urban/ Urban"
4363,44,0,0,8,32317,"No",0,"No","M","High School","Clerical",68,"Private",22450,7,"Minivan","yes",3738,1,"No",8,1,1,"Highly Urban/ Urban"
7390,64,0,0,13,61521,"No",248878,"Yes","F","Masters","Lawyer",41,"Private",7650,1,"Sports Car","no",0,0,"No",8,9,1,"Highly Urban/ Urban"
1165,34,0,1,9,105554,"Yes",229868,"No","M","Masters","Lawyer",75,"Private",5300,4,"Minivan","no",7504,2,"No",2,20,1,"Highly Urban/ Urban"
2362,42,1,1,3,69290,"Yes",0,"No","M","Masters","",30,"Commercial",23900,4,"Panel Truck","yes",1052,2,"No",1,11,1,"Highly Urban/ Urban"
686,53,0,0,8,61862,"No",245885,"Yes","M","PhD","Doctor",33,"Private",11270,1,"Pickup","yes",0,0,"No",0,14,1,"Highly Urban/ Urban"
1065,54,0,0,13,88668,"No",316419,"Yes","F","PhD","Lawyer",63,"Private",20090,4,"Minivan","no",10520,2,"No",1,14,1,"Highly Urban/ Urban"
5075,50,0,0,13,2657,"No",109134,"Yes","F","Masters","Home Maker",63,"Private",10480,13,"Sports Car","no",20452,2,"Yes",2,11,1,"Highly Urban/ Urban"
2287,42,1,2,12,68090,"Yes",169854,"No","F","Bachelors","Blue Collar",45,"Commercial",11750,1,"Minivan","no",9261,1,"No",3,12,1,"Highly Urban/ Urban"
6195,45,0,2,4,25032,"Yes",0,"No","F","High School","Clerical",34,"Commercial",6100,1,"Pickup","yes",5771,1,"No",5,1,1,"Highly Rural/ Rural"
4862,54,0,0,12,52078,"No",194227,"Yes","M","Masters","",51,"Commercial",23250,1,"Panel Truck","yes",5039,1,"No",4,18,1,"Highly Urban/ Urban"
5546,55,0,0,15,75249,"No",0,"No","M","Masters","",5,"Commercial",17020,1,"Van","yes",1316,2,"No",1,21,1,"Highly Urban/ Urban"
3418,29,0,1,8,73842,"Yes",0,"No","F","High School","Blue Collar",25,"Commercial",22340,1,"Sports Car","no",4769,1,"No",4,1,1,"Highly Urban/ Urban"
4423,45,1,2,0,0,"Yes",0,"No","M","<High School","Student",33,"Private",6000,1,"Pickup","no",41818,1,"Yes",3,1,1,"Highly Urban/ Urban"
2328,41,0,1,13,109957,"No",260749,"Yes","F","Masters","Lawyer",50,"Private",29470,6,"Sports Car","no",0,0,"No",1,18,1,"Highly Urban/ Urban"
4700,38,0,0,14,10486,"No",66515,"Yes","M","<High School","Clerical",33,"Private",6350,1,"Minivan","no",5702,1,"No",4,5,1,"Highly Urban/ Urban"
6880,62,0,0,12,33713,"No",171810,"Yes","F","Bachelors","Blue Collar",26,"Commercial",23470,4,"Sports Car","no",41913,3,"Yes",0,15,1,"Highly Urban/ Urban"
3644,36,0,0,13,20891,"No",134406,"Yes","F","High School","Blue Collar",39,"Commercial",5100,1,"SUV","no",2949,2,"No",9,7,1,"Highly Urban/ Urban"
4758,35,0,2,10,17493,"Yes",102902,"No","F","<High School","Clerical",52,"Private",19340,9,"Minivan","no",5658,3,"No",7,1,1,"Highly Urban/ Urban"
4875,45,0,3,14,94325,"No",301739,"Yes","M","Masters","Lawyer",55,"Private",6960,1,"SUV","no",0,0,"No",2,14,1,"Highly Urban/ Urban"
5395,32,0,2,9,60050,"Yes",212562,"No","F","High School","Clerical",31,"Private",11480,1,"Minivan","no",17493,4,"Yes",2,1,1,"Highly Urban/ Urban"
2891,32,0,4,15,4478,"Yes",0,"No","F","<High School","Student",7,"Private",6780,4,"SUV","no",7181,3,"No",5,8,1,"Highly Urban/ Urban"
3149,35,0,0,7,62036,"No",154297,"Yes","M","High School","Blue Collar",5,"Commercial",16370,4,"Van","yes",3913,2,"No",7,1,1,"Highly Urban/ Urban"
3602,64,0,0,15,40528,"No",208306,"Yes","F","High School","Blue Collar",54,"Commercial",11950,7,"Sports Car","no",5137,1,"No",6,6,1,"Highly Urban/ Urban"
2449,44,0,1,11,75046,"No",244819,"Yes","M","High School","Blue Collar",56,"Commercial",9000,4,"Pickup","yes",3288,3,"No",6,10,1,"Highly Urban/ Urban"
3259,40,0,1,12,39600,"Yes",193495,"No","F","High School","Clerical",37,"Private",5460,1,"Sports Car","no",4188,2,"No",5,1,1,"Highly Urban/ Urban"
21823,38,0,0,10,75432,"No",0,"No","F","Bachelors","Manager",51,"Private",16260,1,"SUV","no",8035,3,"No",0,13,1,"Highly Urban/ Urban"
3085,43,0,1,0,0,"Yes",86118,"No","F","<High School","Home Maker",41,"Private",14240,4,"SUV","no",0,0,"No",1,1,1,"Highly Urban/ Urban"
3593,55,0,0,0,0,"No",68500,"Yes","F","Bachelors","Home Maker",11,"Private",8560,6,"Sports Car","no",3769,2,"No",5,14,1,"Highly Urban/ Urban"
458,54,0,0,12,10617,"No",0,"Yes","M","High School","Student",14,"Commercial",7960,10,"Pickup","no",1079,2,"No",2,9,1,"Highly Urban/ Urban"
6143,46,0,0,8,140766,"No",375813,"No","M","Masters","",41,"Commercial",29220,13,"Panel Truck","yes",0,0,"No",1,13,1,"Highly Urban/ Urban"
4524,26,0,1,0,0,"No",0,"Yes","F","Bachelors","Student",10,"Commercial",4100,1,"Sports Car","no",11279,3,"No",5,6,1,"Highly Urban/ Urban"
4480,43,0,2,11,46224,"No",173103,"Yes","M","High School","Blue Collar",45,"Commercial",11510,13,"Pickup","yes",0,0,"Yes",0,10,1,"Highly Urban/ Urban"
5619,42,0,2,11,34210,"No",186734,"Yes","M","High School","Clerical",34,"Private",12880,6,"Minivan","yes",1830,1,"No",0,1,1,"Highly Urban/ Urban"
2262,51,0,0,13,65702,"No",0,"No","F","Masters","Lawyer",27,"Private",15820,1,"SUV","no",7181,2,"No",3,1,1,"Highly Urban/ Urban"
40152,58,0,0,11,51870,"No",0,"No","M","<High School","Blue Collar",36,"Commercial",24520,4,"Panel Truck","yes",0,0,"Yes",5,1,1,"Highly Urban/ Urban"
1237,41,0,0,14,99959,"No",268154,"No","F","Masters","Lawyer",13,"Private",18850,6,"Minivan","no",0,0,"No",1,11,1,"Highly Urban/ Urban"
2876,37,0,0,7,61790,"No",0,"No","M","High School","Blue Collar",32,"Commercial",15150,4,"Minivan","no",0,0,"No",0,7,1,"Highly Urban/ Urban"
1650,37,1,2,0,0,"Yes",0,"No","F","<High School","Student",18,"Private",1500,3,"SUV","no",0,0,"No",3,1,1,"Highly Urban/ Urban"
14834,49,0,0,13,28592,"No",183206,"Yes","M","<High School","Clerical",31,"Commercial",9260,1,"Pickup","no",39892,3,"Yes",6,1,1,"Highly Urban/ Urban"
1796,42,0,2,13,64766,"No",263986,"Yes","F","High School","Blue Collar",20,"Commercial",11840,18,"SUV","no",44414,1,"Yes",1,1,1,"Highly Urban/ Urban"
5177,25,0,1,12,40095,"Yes",0,"No","M","High School","Clerical",38,"Commercial",22720,3,"Panel Truck","yes",1992,2,"No",6,9,1,"Highly Urban/ Urban"
5287,40,1,2,7,52423,"No",150723,"Yes","F","High School","Blue Collar",30,"Private",7420,6,"Sports Car","no",0,0,"No",2,1,1,"Highly Urban/ Urban"
1444,32,0,1,12,76985,"Yes",0,"No","M","Masters","",37,"Private",19500,7,"Van","yes",6762,1,"No",4,15,1,"Highly Urban/ Urban"
3943,49,0,0,8,37356,"No",133175,"Yes","M","High School","Blue Collar",63,"Commercial",6400,1,"Pickup","yes",7993,1,"No",7,6,1,"Highly Urban/ Urban"
2316,42,0,0,13,28341,"No",124838,"Yes","M","<High School","Clerical",45,"Commercial",8530,4,"Pickup","yes",3710,3,"No",7,1,1,"Highly Urban/ Urban"
5363,37,0,3,17,6217,"No",0,"Yes","F","High School","Student",27,"Commercial",22260,10,"Pickup","no",0,0,"Yes",0,4,1,"Highly Urban/ Urban"
5051,48,0,0,6,52275,"No",169104,"Yes","M","Bachelors","Professional",57,"Private",14060,1,"Minivan","no",3868,1,"No",3,6,1,"Highly Urban/ Urban"
6245,21,0,0,5,40022,"No",0,"No","F","Bachelors","Manager",67,"Private",9360,6,"Sports Car","yes",0,0,"No",0,1,1,"Highly Urban/ Urban"
2872,40,0,0,5,57063,"No",0,"No","F","Masters","Professional",46,"Private",16250,10,"Sports Car","no",0,0,"No",0,19,1,"Highly Urban/ Urban"
6101,58,0,0,14,39707,"No",192089,"Yes","M","<High School","Blue Collar",29,"Commercial",16870,1,"Van","yes",3546,1,"No",6,6,1,"Highly Urban/ Urban"
1347,32,0,0,12,52469,"No",0,"No","M","High School","Blue Collar",21,"Commercial",4700,4,"Pickup","no",0,0,"Yes",1,9,1,"Highly Rural/ Rural"
4579,46,0,0,7,106409,"No",0,"No","F","Masters","",42,"Commercial",24410,6,"Pickup","no",6948,1,"No",0,18,1,"Highly Urban/ Urban"
4997,72,1,2,18,27625,"No",162415,"Yes","F","<High School","Clerical",32,"Private",18960,6,"Sports Car","no",8571,1,"No",8,1,1,"Highly Urban/ Urban"
8662,36,2,3,13,28326,"No",145411,"Yes","F","<High School","Clerical",37,"Commercial",26280,7,"Pickup","no",39535,3,"Yes",2,8,1,"Highly Urban/ Urban"
5952,63,0,0,15,26921,"No",140455,"Yes","F","Bachelors","Manager",19,"Private",14360,1,"SUV","no",30288,1,"Yes",2,11,1,"Highly Urban/ Urban"
5252,45,0,3,12,13891,"No",64530,"Yes","F","<High School","Clerical",47,"Private",7390,1,"SUV","no",1546,2,"No",4,8,1,"Highly Urban/ Urban"
7719,33,0,2,9,31675,"No",159621,"Yes","F","High School","Blue Collar",25,"Commercial",9130,7,"Sports Car","no",32882,1,"Yes",6,1,1,"Highly Urban/ Urban"
2353,56,0,2,17,29524,"No",198107,"Yes","F","<High School","Blue Collar",52,"Private",14250,14,"SUV","no",0,0,"No",1,7,1,"Highly Urban/ Urban"
2289,41,0,0,6,86227,"No",237057,"No","M","Masters","",28,"Commercial",19530,9,"Van","no",2948,3,"No",2,17,1,"Highly Urban/ Urban"
5457,57,1,2,15,34116,"Yes",0,"No","F","High School","Clerical",25,"Private",10610,10,"Sports Car","no",34041,3,"Yes",1,7,1,"Highly Urban/ Urban"
3428,42,0,0,8,94591,"No",309644,"No","M","<High School","Blue Collar",21,"Commercial",17470,6,"Van","yes",16121,3,"Yes",3,8,1,"Highly Urban/ Urban"
4898,33,0,0,11,249,"No",0,"No","F","High School","Student",30,"Private",10590,11,"SUV","no",0,0,"No",1,11,1,"Highly Urban/ Urban"
4046,41,2,3,10,24862,"Yes",0,"No","F","Bachelors","Student",26,"Private",7790,1,"Sports Car","no",1055,4,"No",2,10,1,"Highly Rural/ Rural"
3782,57,0,0,15,25761,"No",149672,"Yes","M","Bachelors","Clerical",57,"Private",11940,1,"Pickup","no",4792,1,"No",8,11,1,"Highly Urban/ Urban"
3443,42,0,0,11,49224,"No",155963,"Yes","M","High School","Blue Collar",29,"Commercial",27460,1,"Minivan","yes",4546,3,"No",0,1,1,"Highly Urban/ Urban"
46858,43,0,0,13,22623,"No",184773,"Yes","M","High School","Professional",15,"Private",8060,1,"Pickup","yes",0,0,"No",2,1,1,"Highly Urban/ Urban"
2058,51,0,0,12,40760,"No",186223,"No","M","Bachelors","Professional",24,"Private",11880,1,"Pickup","no",0,0,"No",0,8,1,"Highly Urban/ Urban"
1958,27,0,2,11,68493,"Yes",217494,"No","M","Bachelors","Blue Collar",22,"Commercial",20180,1,"Van","no",0,0,"No",0,5,1,"Highly Urban/ Urban"
4313,27,0,3,9,69794,"Yes",0,"No","F","Bachelors","Professional",24,"Private",14660,4,"SUV","no",2848,1,"No",3,6,1,"Highly Urban/ Urban"
1736,33,0,1,11,25544,"Yes",0,"No","F","<High School","Blue Collar",29,"Private",4050,1,"Sports Car","no",3971,2,"No",0,1,1,"Highly Urban/ Urban"
4257,42,1,2,15,85408,"No",274402,"Yes","F","High School","Blue Collar",32,"Commercial",20170,10,"Minivan","no",697,2,"No",0,8,1,"Highly Urban/ Urban"
3492,55,0,0,11,3865,"No",0,"No","F","<High School","Home Maker",27,"Private",16600,1,"SUV","no",6089,2,"Yes",0,1,1,"Highly Urban/ Urban"
1413,50,0,0,13,94589,"No",276150,"Yes","M","<High School","Blue Collar",8,"Private",6500,11,"Minivan","no",0,0,"No",2,1,1,"Highly Urban/ Urban"
1036,40,0,2,13,50537,"No",193855,"Yes","F","High School","Blue Collar",39,"Commercial",28960,1,"Van","no",1613,1,"No",2,8,1,"Highly Urban/ Urban"
3722,54,0,0,12,65298,"No",213225,"Yes","F","High School","Clerical",5,"Private",8030,17,"SUV","no",4528,3,"No",5,1,1,"Highly Urban/ Urban"
1842,27,0,4,13,50139,"No",167990,"Yes","F","High School","Blue Collar",22,"Private",9210,1,"SUV","no",1271,2,"No",3,1,1,"Highly Urban/ Urban"
5636,37,0,0,6,53895,"No",161774,"Yes","M","Bachelors","Clerical",44,"Commercial",11250,17,"Pickup","no",0,0,"No",0,11,1,"Highly Urban/ Urban"
3414,43,0,2,12,60973,"Yes",0,"No","F","Bachelors","Blue Collar",56,"Commercial",5800,1,"Sports Car","no",0,0,"Yes",1,8,1,"Highly Urban/ Urban"
7161,36,0,0,10,85731,"No",0,"No","F","Bachelors","Blue Collar",13,"Commercial",21660,10,"Pickup","no",4002,2,"No",1,3,1,"Highly Urban/ Urban"
26305,47,0,0,0,0,"No",0,"Yes","M","High School","Student",35,"Commercial",11610,7,"Pickup","yes",19545,1,"Yes",0,1,1,"Highly Rural/ Rural"
5717,42,1,2,11,14166,"Yes",0,"No","F","<High School","Student",36,"Private",23280,6,"Minivan","no",0,0,"No",3,5,1,"Highly Urban/ Urban"
4306,31,0,2,0,0,"No",0,"Yes","F","<High School","Student",48,"Private",7740,4,"Sports Car","no",7323,1,"No",7,1,1,"Highly Urban/ Urban"
1813,36,2,2,0,0,"No",110346,"Yes","F","High School","Home Maker",28,"Private",5100,4,"Minivan","no",39425,3,"Yes",1,9,1,"Highly Urban/ Urban"
2463,57,1,2,0,0,"No",0,"Yes","M","High School","Student",29,"Private",9240,1,"Pickup","yes",8336,2,"Yes",5,1,1,"Highly Urban/ Urban"
465,47,0,0,15,91221,"No",263877,"Yes","F","Bachelors","Blue Collar",31,"Commercial",1500,4,"Sports Car","no",5385,2,"No",2,7,1,"Highly Urban/ Urban"
5016,44,0,0,10,146338,"No",0,"No","M","Masters","",21,"Commercial",22620,1,"Panel Truck","no",37211,3,"Yes",3,10,1,"Highly Urban/ Urban"
3354,47,0,0,12,47235,"No",205801,"No","M","High School","Blue Collar",27,"Private",10920,4,"Pickup","yes",9933,2,"No",2,1,1,"Highly Urban/ Urban"
1368,36,0,3,15,79457,"Yes",213122,"No","F","Bachelors","Professional",34,"Private",5100,1,"SUV","no",0,0,"No",1,8,1,"Highly Urban/ Urban"
3854,37,0,2,13,133335,"Yes",0,"No","F","Bachelors","Blue Collar",15,"Commercial",21740,1,"SUV","no",975,2,"No",6,13,1,"Highly Urban/ Urban"
3231,58,1,2,17,3272,"No",0,"Yes","M","<High School","Student",42,"Private",7200,1,"Minivan","yes",5086,2,"No",2,5,1,"Highly Urban/ Urban"
4611,38,0,2,14,58833,"No",193644,"Yes","M","Bachelors","Blue Collar",41,"Commercial",17680,1,"Van","yes",0,0,"Yes",2,10,1,"Highly Urban/ Urban"
917,72,0,0,16,63890,"No",256797,"Yes","F","Masters","Lawyer",41,"Private",9100,7,"Sports Car","no",4448,3,"No",0,6,1,"Highly Urban/ Urban"
9162,40,0,0,9,5253,"No",77463,"No","F","High School","Student",23,"Commercial",23600,4,"Pickup","no",0,0,"No",0,1,1,"Highly Urban/ Urban"
3844,44,0,1,11,48374,"No",215391,"Yes","M","High School","Blue Collar",48,"Commercial",34640,1,"Panel Truck","no",0,0,"No",0,8,1,"Highly Urban/ Urban"
5951,53,0,0,12,48587,"No",0,"No","M","High School","Blue Collar",61,"Commercial",19300,6,"Van","no",4390,3,"No",3,6,1,"Highly Urban/ Urban"
22134,35,0,0,11,85430,"No",0,"No","F","Bachelors","Blue Collar",14,"Commercial",13540,1,"SUV","no",8062,2,"No",2,1,1,"Highly Urban/ Urban"
60838,48,0,0,11,81084,"No",0,"No","F","Bachelors","Professional",42,"Private",27360,1,"Sports Car","no",2860,1,"No",4,9,1,"Highly Urban/ Urban"
16840,62,3,3,16,33995,"No",136008,"Yes","M","<High School","Blue Collar",42,"Private",7700,4,"SUV","yes",8002,3,"No",4,1,1,"Highly Urban/ Urban"
4423,55,0,0,10,39405,"No",161357,"Yes","M","Masters","",28,"Commercial",10940,1,"Pickup","yes",0,0,"Yes",1,14,1,"Highly Urban/ Urban"
5363,59,0,0,12,155410,"No",422815,"Yes","M","Bachelors","Manager",40,"Commercial",33330,7,"Panel Truck","yes",4765,3,"No",4,10,1,"Highly Urban/ Urban"
5495,24,0,1,12,94566,"Yes",239142,"No","F","Masters","",34,"Private",3900,1,"SUV","no",0,0,"No",2,16,1,"Highly Urban/ Urban"
4194,48,0,0,11,26875,"No",0,"No","M","High School","Clerical",18,"Commercial",10450,1,"Pickup","no",3830,1,"No",8,6,1,"Highly Urban/ Urban"
5061,42,1,3,11,99269,"Yes",306012,"No","M","Bachelors","Professional",34,"Commercial",25910,7,"Panel Truck","yes",45894,2,"Yes",1,10,1,"Highly Urban/ Urban"
3038,21,0,1,8,18483,"Yes",0,"No","F","High School","Clerical",20,"Private",8150,1,"Sports Car","no",7781,2,"No",3,1,1,"Highly Urban/ Urban"
1030,50,0,0,9,58628,"No",0,"No","M","Masters","Lawyer",14,"Private",12360,1,"Minivan","yes",0,0,"No",0,15,1,"Highly Urban/ Urban"
5109,59,0,0,11,8213,"No",0,"No","F","High School","Home Maker",61,"Private",8840,6,"SUV","no",2479,3,"No",6,5,1,"Highly Urban/ Urban"
2424,30,0,3,11,75891,"No",222952,"Yes","M","Masters","",33,"Commercial",4500,4,"Pickup","no",3919,1,"No",1,20,1,"Highly Urban/ Urban"
27496,42,1,1,9,61995,"Yes",0,"No","F","Bachelors","Professional",52,"Private",36080,1,"Minivan","no",0,0,"No",3,8,1,"Highly Urban/ Urban"
5862,38,1,2,11,22938,"Yes",0,"No","F","High School","Clerical",38,"Private",14170,4,"SUV","no",9785,2,"No",0,1,1,"Highly Rural/ Rural"
3960,32,0,0,10,16118,"No",0,"No","F","<High School","Blue Collar",44,"Private",6380,1,"SUV","no",7223,1,"No",4,1,1,"Highly Urban/ Urban"
1226,41,0,0,10,50331,"No",0,"No","F","Bachelors","Blue Collar",23,"Commercial",18870,4,"Pickup","no",5581,2,"No",7,1,1,"Highly Urban/ Urban"
2838,51,0,0,13,51513,"No",0,"No","M","Masters","Lawyer",42,"Private",6650,4,"Minivan","no",33388,2,"Yes",4,17,1,"Highly Urban/ Urban"
